"","alternate_name","alternate_tsn","preferred_name","preferred_tsn","rationale","otu_metric_calc","otu_bcg_orwa","otu_bcg_orwa_worms","Taxon.Serial.Number","Rank","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies"
"1","Antennella",NA,NA,NA,NA,NA,NA,NA,50378,"Genus","Cnidaria","","","Hydrozoa","Hydroidolina","","","Leptothecatae","","","","Halopterididae","","","","","","Antennella","","","",""
"2","Camptomyia panelii",NA,NA,NA,NA,NA,NA,NA,123256,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Bibionomorpha","","Cecidomyiidae","Porricondylinae","","Asynaptini","","","Camptomyia","","","panelii",""
"3","Chernovskiia",NA,NA,NA,NA,NA,NA,NA,129249,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Chernovskiia","","","",""
"4","Cheumatopsyche ela",NA,NA,NA,NA,NA,NA,NA,115415,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Cheumatopsyche","","Cheumatopsyche","ela",""
"5","Microtendipes pedellus",NA,NA,NA,NA,NA,NA,NA,129541,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus",""
"6","Nasiternella",NA,NA,NA,NA,NA,NA,NA,121112,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Pediciini","","","Nasiternella","","","",""
"7","Onconeura",NA,NA,NA,NA,NA,NA,NA,-279,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Onconeura","","","",""
"8","Pacifastacus okanaganensis",NA,NA,NA,NA,NA,NA,NA,-281,"Species","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Astacidae","","","","","","Pacifastacus","","","okanaganensis",""
"9","Parakiefferiella ferringtoni",NA,NA,NA,NA,NA,NA,NA,-285,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","Parakiefferiella ferringtoni",""
"10","Phaenopsectra obediens",NA,NA,NA,NA,NA,NA,NA,129647,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","obediens",""
"11","Phaenopsectra punctipes",NA,NA,NA,NA,NA,NA,NA,129652,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","punctipes",""
"12","Simuliinae",NA,NA,NA,NA,NA,NA,NA,126647,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Simuliidae","Simuliinae","","","","","","","","",""
"13","Sphaerium/Musculium",NA,NA,NA,NA,NA,NA,NA,-284,"Genus Group","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","","","Sphaerium/Musculium","","","","","",""
"14","Tabaninae",NA,NA,NA,NA,NA,NA,NA,131232,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Tabanidae","Tabaninae","","","","","","","","",""
