"","alternate_name","preferred_name","otu_metric_calc"
"1","Amphicosmoecus canax","Amphicosmoecus","Amphicosmoecus canax"
"2","Ampumixis dispar","Ampumixis","Ampumixis dispar"
"3","Atractelmis wawona","Atractelmis","Atractelmis wawona"
"4","Calasellus","Calasellus/Salmasellus","Asellidae (subterranean)"
"5","Caudatella heterocaudata","heterocaudata complex","Caudatella heterocaudata complex"
"6","Clinocera stagnalis","Clinocera","Clinocera/Trichoclinocera"
"7","Clostoeca disjuncta","Clostoeca","Clostoeca disjuncta"
"8","Drunella coloradensis","Drunella coloradensis/flavilinea","Drunella Coloradensis Group"
"9","Drunella coloradensis/flavilinea","Drunella coloradensis/flavilinea","Drunella Coloradensis Group"
"10","Drunella flavilinea","Drunella coloradensis/flavilinea","Drunella Coloradensis Group"
"11","Drunella grandis","Drunella grandis/spinifera","Drunella Grandis Group"
"12","Drunella grandis flavitincta","Drunella grandis/spinifera","Drunella Grandis Group"
"13","Drunella grandis grandis","Drunella grandis/spinifera","Drunella Grandis Group"
"14","Drunella spinifera","Drunella grandis/spinifera","Drunella Grandis Group"
"15","Ecdyonurus","Afghanurus","Ecdyonurus"
"16","Ecdyonurus criddlei","Afghanurus criddlei","Ecdyonurus criddlei"
"17","Eucorethra underwoodi","Eucorethra","Eucorethra underwoodi"
"18","Goera","Goera archaon","Goera"
"19","Himalopsyche phryganea","Himalopsyche","Himalopsyche phryganea"
"20","Holorusia hespera","Holorusia","Holorusia hespera"
"21","Margaritifera","Margaritiferidae","Margaritifera falcata"
"22","Margaritifera falcata","Margaritiferidae","Margaritifera falcata"
"23","Nixe","Afghanurus","Ecdyonurus"
"24","Octogomphus specularis","Octogomphus","Octogomphus specularis"
"25","Ophidonais serpentina","Ophidonais","Ophidonais serpentina"
"26","Orohermes crepusculus","Orohermes","Orohermes crepusculus"
"27","Orthocladiinae Genus 5 (Coffman and Ferrington)","Parakiefferiella ferringtoni","Orthocladiinae"
"28","Orthocladius lignicola","Orthocladius (Symposiocladius)","Orthocladius"
"29","Physa","Physella","Physa/Physella"
"30","Physidae","Physella","Physa/Physella"
"31","Piscicola salmositica","Cystobranchus salmositicus","Cystobranchus"
"32","Planaria","Trepaxonemata","Platyhelminthes"
"33","Planariidae","Trepaxonemata","Platyhelminthes"
"34","Plectrocnemia","Polycentropus","Polycentropus sensu lato"
"35","Quistadrilus multisetosus","Quistradrilus","Quistadrilus multisetosus"
"36","Radix auricularia","Radix","Radix auricularia"
"37","Slavina appendiculata","Slavina","Slavina appendiculata"
"38","Sweltsa adamantea","Sweltsa","Gaufina/Sweltsa"
"39","Tubularia","Trepaxonemata","Platyhelminthes"
"40","Turbellaria","Trepaxonemata","Platyhelminthes"
"41","Uncinais uncinata","Uncinais","Uncinais uncinata"
