Sample ID	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream or River	Agency	Project	Site Code	Visit Date	Date Released	Latitude	Longitude	Lab Name	Sample Code	QC Replicate Of Sample Code	Collection Count	Positions In Stream	Surface Area	Surface Area Units	Taxa Effort	Deficiency Notes	QA/QC Result	Sampling Grid Squares Counted	Total Sampling Grid Squares	Taxon Serial Number	Taxon	Original Taxon Serial Number	Original Taxon	Quantity	Quantity Subsampling	Life Stage	Unique	Damaged	Immature	Outside Protocol	Wrong Gender	Non-B-IBI	Predator	Long Lived	Tolerant	Intolerant	Clinger	Fine Sediment Sensitivity Index	Hilsenhoff Biotic Tolerance Index	Metals Tolerance Index	Rank	Phylum	Subphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Custom Subfamily	Tribe	Genus Group	Subtribe	Genus	Species Group	Subgenus	Species	Subspecies
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	68422	Oligochaeta	68422	Oligochaeta	13	13	not specified	True	False	False	False	False	False	False	False	False	False	False		5		Subclass	Annelida			Clitellata	Oligochaeta																	
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	733321	Acari	733321	Acari	4	4	not specified	True	False	False	False	False	False	False	False	False	False	False				Subclass	Arthropoda	Chelicerata		Arachnida	Acari																	
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	95081	Crangonyx	95081	Crangonyx	4	4	not specified	True	False	False	False	False	False	False	False	True	False	False		4		Genus	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Crangonyctidae						Crangonyx				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	114164	Cleptelmis	114164	Cleptelmis	30	28	not specified	True	False	False	False	False	False	False	True	False	False	True		4		Genus	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Cleptelmis				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	114167	Heterlimnius	114167	Heterlimnius	6	6	not specified	True	False	False	False	False	False	False	True	False	False	True	5	4		Genus	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Heterlimnius				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	114139	Lara avara	114139	Lara avara	5	5	not specified	True	False	False	False	False	False	False	True	False	False	True		4		Species	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Lara			avara	
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	114142	Narpus	114142	Narpus	7	7	not specified	True	False	False	False	False	False	False	True	False	False	True		4	1	Genus	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Narpus				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	114177	Optioservus	114177	Optioservus	16	16	not specified	True	False	False	False	False	False	False	True	False	False	True		4	5	Genus	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Optioservus				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	136305	Chelifera	136305	Chelifera	1	1	not specified	True	False	False	False	False	False	True	False	False	False	True		6		Genus	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Diptera	Brachycera	Muscomorpha		Empididae	Hemerodromiinae		Hemerodromiini			Chelifera				
83	83	110	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Bear Creek Subbasin	Monticello Creek	King County - DNRP	Ambient Monitoring	08BEA3312	9/13/2006	6/13/2008	47.703496	-122.092540	ABR, Inc.	08BEA3312/06		3		3.00	ft2	Coarse			18	30	127917	Chironomidae	127917	Chironomidae	42	42	not specified	True	False	False	False	False	False	False	False	False	False	False		6		Family	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Diptera	Nematocera	Culicomorpha		Chironomidae										
