Alternate Name	Alternate TSN	Preferred Name	Preferred TSN
Acar	79375	Acari	733321
Acilius abbreviatus	112080	Acilius	112074
Acroneuria	102917	Perlodidae	102994
Aedes	126234	Culicidae	125930
Aeshna	101603	Aeshna/Rhionaeschna	-267
Aeshna eremita	185978	Aeshna/Rhionaeschna	-267
Aeshna interrupta	185979	Aeshna/Rhionaeschna	-267
Aeshna juncea	185981	Aeshna/Rhionaeschna	-267
Aeshna palmata	592674	Aeshna/Rhionaeschna	-267
Aeshna umbrosa	101605	Aeshna/Rhionaeschna	-267
Aeshna walkeri	592682	Aeshna/Rhionaeschna	-267
Agabus lutosus	112056	Agabus	111966
Agathon comstocki	121237	Agathon	121230
Alaskaperla ovibovis	103317	Chloroperlidae	103202
Alisotrichia	181197	Hydroptilidae	115629
Allocosmoecus	115969	Allocosmoecus partitus	115970
Americorophium spinicorne	656746	Americorophium	656484
Ametor latus	112891	Ametor	112890
Ametor scabrosus	112892	Ametor	112890
Ametropus ammophilus	101077	Ametropus	101074
Amiocentrus aspilus	116934	Amiocentrus	116933
Amphiagrion	102093	Coenagrionidae	102077
Amphiagrion abbreviatum	102094	Coenagrionidae	102077
Amphicosmoecus canax	116254	Amphicosmoecus	116253
Amphinemura	102540	Malenka	102567
Amphizoa insolens	111958	Amphizoa	111953
Amphizoa lecontei	111961	Amphizoa	111953
Amphizoidae	111952	Amphizoa	111953
Ampumixis dispar	114197	Ampumixis	114196
Anafroptilum	-179	Anafroptilum/Procloeon	-268
Anax junius	101598	Anax	101597
Anchycteis	114266	Ptilodactylidae	114265
Anchycteis velutina	114267	Ptilodactylidae	114265
Anisogammarus	93747	Anisogammaridae	203113
Antillocladius	128470	Orthocladiinae	128457
Antocha monticola	119660	Antocha	119656
Apatania sorex	115936	Apatania	115935
Apsectrotanypus johnsoni	128024	Apsectrotanypus	128021
Archilestes grandis	102060	Archilestes	102059
Archoophora	53965	Trepaxonemata	914204
Arcteonais lomondi	68976	Arcteonais	68975
Arctoconopa	120398	Limoniidae	-233
Arctopsyche californica	115538	Arctopsyche	115529
Arctopsyche grandis	115530	Arctopsyche	115529
Argia emma	102142	Argia	102139
Argia vivida	102150	Argia	102139
Argyra	137250	Dolichopodidae	136824
Asioplax edmundsi	609625	Asioplax	609510
Assia	59719	Nemata	563956
Athericidae	130928	Atherix	130929
Atherix pachypus	130931	Atherix	130929
Atractelmis wawona	114252	Atractelmis	114251
Atractidae	63894	Atractides	83282
Atrichomelina	144657	Sciomyzidae	144653
Atrichopogon	127113	Forcipomyiinae	127112
Attenella soquele	568629	Attenella	101338
Aulodrilus pluriseta	68684	Aulodrilus	68679
Baetis bicaudatus	100823	Baetis bicaudatus complex	-175
Baetis flavistriga	100835	Baetis flavistriga complex	-173
Baetis piscatoris	100814	Baetis piscatoris complex	-194
Baetis tricaudatus	100817	Baetis tricaudatus complex	-177
Baetodes tritus	568588	Baetodes	100938
Banksiola crotchi	115912	Banksiola	115911
Basommatophora	76437	Gastropoda	69459
Batracobdella	69358	Erpobdella	69444
Bezzia	127778	Ceratopogoninae	127338
Bezzia/Palpomyia	-140	Ceratopogoninae	127338
Bibiocephala grandis	121251	Bibiocephala	121250
Bilyjomyia algens	-159	Bilyjomyia	-161
Blepharicera ostensackeni	121267	Blepharicera	121255
Bothrioneurum vejdovskyanum	68779	Bothrioneurum	68778
