"","Alternate.Name","Alternate.TSN","Preferred.Name","Preferred.TSN","NonTarget","Rationale","OTU_MTTI","OTU_MetricCalc","OTU_BCG_MariNW","OTU_BSTI","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies"
"185","Ceratopogonini",NA,NA,NA,NA,NA,NA,NA,NA,NA,127526,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","Ceratopogonini","","","","","","",""
"240","Cognettia",NA,NA,NA,NA,NA,NA,NA,NA,NA,68552,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Cognettia","","","",""
"305","Desmona mono",NA,NA,NA,FALSE,"Single species","DNI","Monophylax mono","Monophylax mono","DNI",605400,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Desmona","","","mono",""
"572","Hornectes quadrimaculatus",NA,NA,NA,FALSE,"Genera within Hydroporinae in flux best to leave at subfamily","Hydroporinae","Hydroporinae","Hydroporinae","Hydroporinae",1157143,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","Deronectina","Hornectes","","","quadrimaculatus",""
"601","Hydropsyche breviculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,599778,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","Hydropsyche","breviculata",""
"606","Hydroptila brailovskyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,606441,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","brailovskyi",""
"607","Hydroptila catamarcensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,606454,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","catamarcensis",""
"766","Microtendipes pedellus aberrans",NA,NA,NA,NA,NA,NA,NA,NA,NA,129546,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus","aberrans"
"795","Nais behningi",NA,NA,NA,NA,NA,NA,NA,NA,NA,68949,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Nais","","","behningi",""
"870","Orconectes (Faxonius)",NA,NA,NA,NA,NA,NA,NA,NA,NA,650284,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","Faxonius","",""
"881","Orimarga",NA,NA,NA,NA,NA,NA,NA,NA,NA,120019,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Orimarga","","","",""
"1171","Rhyacophila vetina Complex",NA,NA,NA,FALSE,"formatting","DNI","Rhyacophila vetina complex","Rhyacophila vetina complex","DNI",-157,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Rhyacophila","Rhyacophila vetina Complex","","",""
"1254","Stephensoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,69017,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Stephensoniana","","","",""
"1345","Tubifex tubifex",NA,NA,NA,NA,NA,NA,NA,NA,NA,68623,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Tubifex","","","tubifex",""
