Order.pssb,Family.pssb,Taxon Name.pssb,TSN.pssb,Fore Wisseman 2012-Clinger.pssb,Habit.orwa,binary_clinger,clinger_differences,Fore Wisseman 2012-Long Lived.pssb,LONGLIVED.orwa,Life_Cycle.orwa,longlived_differences,Fore Wisseman 2012-Predator.pssb,FFG.orwa,binary_predator,pred_differences,Subkingdom.pssb,Phylum.pssb,Subphylum.pssb,Superclass.pssb,Class.pssb,Subclass.pssb,Infraclass.pssb,Superorder.pssb,Suborder.pssb,Infraorder.pssb,Superfamily.pssb,Subfamily.pssb,Custom Subfamily.pssb,Tribe.pssb,Genus Group.pssb,Subtribe.pssb,Genus.pssb,Species Group.pssb,Subgenus.pssb,Species.pssb,Subspecies.pssb,Taxonomic Rank.pssb,Fore Wisseman 2012-Intolerant.pssb,Fore Wisseman 2012-Tolerant.pssb,Taxon_Group.orwa,NonTarget.orwa,BCG_attr.orwa,BCG_PredContScore.orwa,BCG_attr2.orwa,Habitat.orwa,Noteworthy.orwa,Thermal_indicator.orwa,ThermalPref_ALL.orwa,ThermTol_Less30.orwa,MWMT_WAopt.orwa,MWMT_PCT90.orwa,Therm_TopIndicator.orwa,ThermVar.orwa,TolVal2.orwa,TolVal.orwa,Air.orwa,FSBI_2012.orwa,Hemoglobin.orwa,TSN.orwa,Kingdom.orwa,Phylum.orwa,SubPhylum.orwa,Class.orwa,SubClass.orwa,Order.orwa,SubOrder.orwa,SuperFamily.orwa,Family.orwa,SubFamily.orwa,Tribe.orwa,GenusGroup.orwa,Genus.orwa,SubGenus.orwa,SpeciesGroup.orwa,SpeciesSubGroup.orwa,SpeciesComplex.orwa,Species.orwa
NA,NA,Annelida,64357,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phylum,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Hirudinea,69290,FALSE,CN,TRUE,clinger_dif,TRUE,FALSE,uni,longlived_dif,TRUE,PR,TRUE,NA,NA,Annelida,NA,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subclass,FALSE,FALSE,Leeches,FALSE,5,NA,NA,GENE,NA,warm,Warm,NA,21.30525329,25.54,NA,NA,NA,NA,NA,NA,NA,69290,Animalia,Annelida,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arhynchobdellida,Erpobdellidae,Erpobdellidae,69438,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,TRUE,NA,FALSE,pred_dif,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,Erpobdelliformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arhynchobdellida,Erpobdellidae,Erpobdella,69444,FALSE,CN,TRUE,clinger_dif,TRUE,TRUE,semi,NA,TRUE,PR,TRUE,NA,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,Erpobdelliformes,NA,NA,Erpobdellinae,NA,NA,NA,NA,Erpobdella,NA,NA,NA,NA,Genus,FALSE,TRUE,Leeches,FALSE,5,4.513967514,NA,GENE,NA,warm,Warm,NA,21.68450719,26.89,NA,NA,11,8,F,NA,NA,69444,Animalia,Annelida,NA,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,NA,Erpobdellidae,Erpobdellinae,NA,NA,Erpobdella,NA,NA,NA,NA,NA
Arhynchobdellida,Erpobdellidae,Mooreobdella,69449,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,TRUE,NA,FALSE,pred_dif,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,Erpobdelliformes,NA,NA,Erpobdellinae,NA,NA,NA,NA,Mooreobdella,NA,NA,NA,NA,Genus,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobdellida,Glossiphoniidae,Glossiphoniidae,69357,FALSE,CN,TRUE,clinger_dif,TRUE,FALSE,uni,longlived_dif,TRUE,PR,TRUE,NA,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,FALSE,FALSE,Leeches,FALSE,5,4.463238239,NA,GENE,NA,warm,Warm,NA,21.81617094,25.442,NA,NA,4,9,F,NA,NA,69357,Animalia,Annelida,NA,Clitellata,Hirudinea,Rhynchobdellida,NA,NA,Glossiphoniidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobdellida,Glossiphoniidae,Glossiphonia complanata,69381,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,TRUE,NA,FALSE,pred_dif,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,NA,NA,NA,Glossiphoniinae,NA,NA,NA,NA,Glossiphonia,NA,NA,complanata,NA,Species,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobdellida,Glossiphoniidae,Helobdella,69396,FALSE,CN,TRUE,clinger_dif,FALSE,FALSE,uni,NA,TRUE,PR,TRUE,NA,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,NA,NA,NA,Haementeriinae,NA,NA,NA,NA,Helobdella,NA,NA,NA,NA,Genus,FALSE,FALSE,Leeches,FALSE,5,NA,NA,GENE,NA,NA,NA,Less30,NA,NA,NA,NA,11,6,F,NA,NA,69396,Animalia,Annelida,NA,Clitellata,Hirudinea,Rhynchobdellida,NA,NA,Glossiphoniidae,Haementeriinae,NA,NA,Helobdella,NA,NA,NA,NA,NA
Rhynchobdellida,Glossiphoniidae,Helobdella stagnalis,69398,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,pred_dif,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,NA,NA,NA,Haementeriinae,NA,NA,NA,NA,Helobdella,NA,NA,stagnalis,NA,Species,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobdellida,Piscicolidae,Piscicolidae,69296,FALSE,CN,TRUE,clinger_dif,TRUE,FALSE,uni,longlived_dif,TRUE,PA,FALSE,pred_dif,NA,Annelida,NA,NA,Clitellata,Hirudinea,Euhirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,FALSE,FALSE,Leeches,FALSE,UN,NA,NA,GENE,NA,NA,NA,Less30,NA,NA,NA,NA,11,NA,F,NA,NA,69296,Animalia,Annelida,NA,Clitellata,Hirudinea,Rhynchobdellida,NA,NA,Piscicolidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
