Subkingdom	Phylum	Subphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Custom Subfamily	Tribe	Genus Group	Subtribe	Genus	Species Group	Subgenus	Species	Subspecies	Taxon Name	TSN	Taxonomic Rank	Fore Wisseman 2012-Clinger	Fore Wisseman 2012-Intolerant	Fore Wisseman 2012-Long Lived	Fore Wisseman 2012-Predator	Fore Wisseman 2012-Tolerant
	Annelida																						Annelida	64357	Phylum	False	False	False	False	False
	Annelida			Clitellata	Hirudinea																		Hirudinea	69290	Subclass	False	False	True	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Arhynchobdellida	Erpobdelliformes			Erpobdellidae											Erpobdellidae	69438	Family	False	False	True	True	True
	Annelida			Clitellata	Hirudinea	Euhirudinea		Arhynchobdellida	Erpobdelliformes			Erpobdellidae	Erpobdellinae					Erpobdella					Erpobdella	69444	Genus	False	False	True	True	True
	Annelida			Clitellata	Hirudinea	Euhirudinea		Arhynchobdellida	Erpobdelliformes			Erpobdellidae	Erpobdellinae					Mooreobdella					Mooreobdella	69449	Genus	False	False	True	True	True
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Glossiphoniidae											Glossiphoniidae	69357	Family	False	False	True	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Glossiphoniidae	Glossiphoniinae					Glossiphonia			complanata		Glossiphonia complanata	69381	Species	False	False	True	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Glossiphoniidae	Haementeriinae					Helobdella					Helobdella	69396	Genus	False	False	False	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Glossiphoniidae	Haementeriinae					Helobdella			stagnalis		Helobdella stagnalis	69398	Species	False	False	False	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Piscicolidae											Piscicolidae	69296	Family	False	False	True	True	False
	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Piscicolidae	Piscicolinae					Piscicola					Piscicola	69304	Genus	False	False	True	True	False
	Annelida			Clitellata	Oligochaeta																		Oligochaeta	68422	Subclass	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Branchiobdellida															Branchiobdellida	69168	Order	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Haplotaxina			Haplotaxidae						Haplotaxis					Haplotaxis	68505	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae											Enchytraeidae	68510	Family	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Enchytraeus					Enchytraeus	68531	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Fridericia					Fridericia	204785	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Mesenchytraeus					Mesenchytraeus	68544	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae											Naididae	68854	Family	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae						Nais					Nais	68946	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae						Pristina					Pristina	68876	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae						Slavina					Slavina	68855	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae						Stylaria					Stylaria	68871	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae	Naidinae										Naidinae	-137	Subfamily	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae	Tubificinae										Tubificinae	-138	Subfamily	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae											Tubificidae	68585	Family	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae						Aulodrilus					Aulodrilus	68679	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae						Ilyodrilus					Ilyodrilus	68660	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae						Limnodrilus					Limnodrilus	68638	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae						Potamothrix					Potamothrix	68786	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Tubificidae						Spirosperma					Spirosperma	68780	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae											Lumbriculidae	68440	Family	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae						Eclipidrilus					Eclipidrilus	68473	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae						Eiseniella			tetraedra		Eiseniella tetraedra	-121	Species	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae						Kincaidiana					Kincaidiana	68470	Genus	False	False	False	False	False
	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae						Lumbriculus					Lumbriculus	68441	Genus	False	False	True	False	False
	Annelida			Polychaeta																			Polychaeta	64358	Class	False	False	False	False	False
	Annelida			Polychaeta	Palpata			Aciculata	Phyllodocida			Polynoidae						Lepidonotus					Lepidonotus	64599	Genus	False	False	False	False	False
	Annelida			Polychaeta	Palpata			Aciculata	Phyllodocida			Sphaerodoridae											Sphaerodoridae	66064	Family	False	False	False	False	False
	Annelida			Polychaeta	Palpata			Aciculata	Phyllodocida			Syllidae						Procerastea			nematodes		Procerastea nematodes	65869	Species	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida																			Arachnida	82708	Class	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari																		Acari	733321	Subclass	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Sarcoptiformes	Oribatida														Oribatida	733326	Suborder	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes															Trombidiformes	82769	Order	False	False	False	False	False
