Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Custom Subfamily,Tribe,Genus Group,Subtribe,Genus,Species Group,Subgenus,Species,Subspecies,Taxon Name,TSN,Taxonomic Rank,Fore Wisseman 2012-Clinger,Fore Wisseman 2012-Intolerant,Fore Wisseman 2012-Long Lived,Fore Wisseman 2012-Predator,Fore Wisseman 2012-Tolerant
,Annelida,,,,,,,,,,,,,,,,,,,,,,Annelida,64357,Phylum,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Hirudinea,,,,,,,,,,,,,,,,,,Hirudinea,69290,Subclass,FALSE,FALSE,TRUE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Arhynchobdellida,Erpobdelliformes,,,Erpobdellidae,,,,,,,,,,,Erpobdellidae,69438,Family,FALSE,FALSE,TRUE,TRUE,TRUE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Arhynchobdellida,Erpobdelliformes,,,Erpobdellidae,Erpobdellinae,,,,,Erpobdella,,,,,Erpobdella,69444,Genus,FALSE,FALSE,TRUE,TRUE,TRUE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Arhynchobdellida,Erpobdelliformes,,,Erpobdellidae,Erpobdellinae,,,,,Mooreobdella,,,,,Mooreobdella,69449,Genus,FALSE,FALSE,TRUE,TRUE,TRUE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,,,,,,,,,,,Glossiphoniidae,69357,Family,FALSE,FALSE,TRUE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,Glossiphoniinae,,,,,Glossiphonia,,,complanata,,Glossiphonia complanata,69381,Species,FALSE,FALSE,TRUE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,Haementeriinae,,,,,Helobdella,,,,,Helobdella,69396,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,Haementeriinae,,,,,Helobdella,,,stagnalis,,Helobdella stagnalis,69398,Species,FALSE,FALSE,FALSE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Piscicolidae,,,,,,,,,,,Piscicolidae,69296,Family,FALSE,FALSE,TRUE,TRUE,FALSE
,Annelida,,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Piscicolidae,Piscicolinae,,,,,Piscicola,,,,,Piscicola,69304,Genus,FALSE,FALSE,TRUE,TRUE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,,,,,,,,,,,,,,,,Oligochaeta,68422,Subclass,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Branchiobdellida,,,,,,,,,,,,,,,Branchiobdellida,69168,Order,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Haplotaxina,,,Haplotaxidae,,,,,,Haplotaxis,,,,,Haplotaxis,68505,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Enchytraeidae,,,,,,,,,,,Enchytraeidae,68510,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Enchytraeidae,,,,,,Enchytraeus,,,,,Enchytraeus,68531,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Enchytraeidae,,,,,,Fridericia,,,,,Fridericia,204785,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Enchytraeidae,,,,,,Mesenchytraeus,,,,,Mesenchytraeus,68544,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,,,,,,,,,,,Naididae,68854,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,,,,,,Nais,,,,,Nais,68946,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,,,,,,Pristina,,,,,Pristina,68876,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,,,,,,Slavina,,,,,Slavina,68855,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,,,,,,Stylaria,,,,,Stylaria,68871,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,Naidinae,,,,,,,,,,Naidinae,-137,Subfamily,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Naididae,Tubificinae,,,,,,,,,,Tubificinae,-138,Subfamily,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,,,,,,Tubificidae,68585,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Aulodrilus,,,,,Aulodrilus,68679,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Ilyodrilus,,,,,Ilyodrilus,68660,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Limnodrilus,,,,,Limnodrilus,68638,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Potamothrix,,,,,Potamothrix,68786,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
